LapTimeSec,LapNumber,Compound,TyreLife,Driver,Team,EventName,Round,TrackTemp,AirTemp
96.753,3.0,SOFT,6.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
96.647,4.0,SOFT,7.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
97.173,5.0,SOFT,8.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
97.092,6.0,SOFT,9.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
97.038,7.0,SOFT,10.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
97.024,8.0,SOFT,11.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
97.229,9.0,SOFT,12.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
96.96,10.0,SOFT,13.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
97.085,11.0,SOFT,14.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
97.045,12.0,SOFT,15.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
97.03,13.0,SOFT,16.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
97.028,14.0,SOFT,17.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
97.011,15.0,SOFT,18.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
97.168,16.0,SOFT,19.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
99.896,17.0,SOFT,20.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
117.854,18.0,HARD,1.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
95.283,19.0,HARD,2.0,VER,Red Bull Racing,Bahrain Grand Prix,1,23.652866242038222,18.22738853503185
